image_a,filter_a,intensity_a
Ocean_Lark_75.jpg,Lark,75
Girl2_OG.jpg,OG,0
Girl2_Juno_100.jpg,Juno,100
Lake_Juno_25.jpg,Juno,25
Temple_Lark_50.jpg,Lark,50
Lake_Lark_50.jpg,Lark,50
Lake_Clarendon_100.jpg,Clarendon,100
Girl1_Lark_25.jpg,Lark,25
Girl1_Juno_100.jpg,Juno,100
Ocean_Clarendon_75.jpg,Clarendon,75
Temple_Juno_75.jpg,Juno,75
Ocean_Juno_25.jpg,Juno,25
Temple_Clarendon_100.jpg,Clarendon,100
Ocean_Clarendon_25.jpg,Clarendon,25
Girl2_Juno_25.jpg,Juno,25
Girl1_OG.jpg,OG,0
Ocean_Juno_100.jpg,Juno,100
Girl2_Juno_50.jpg,Juno,50
Girl2_Clarendon_100.jpg,Clarendon,100
Girl1_Clarendon_50.jpg,Clarendon,50
Girl2_Juno_75.jpg,Juno,75
Temple_Juno_50.jpg,Juno,50
Lake_Juno_50.jpg,Juno,50
Girl2_Lark_100.jpg,Lark,100
Lake_Lark_100.jpg,Lark,100
Temple_Lark_100.jpg,Lark,100
Lake_Clarendon_50.jpg,Clarendon,50
Temple_Juno_25.jpg,Juno,25
Girl2_Clarendon_50.jpg,Clarendon,50
Ocean_Clarendon_100.jpg,Clarendon,100
Girl1_Lark_100.jpg,Lark,100
Temple_Clarendon_25.jpg,Clarendon,25
Girl1_Clarendon_25.jpg,Clarendon,25
Lake_Clarendon_25.jpg,Clarendon,25
Temple_Lark_75.jpg,Lark,75
Temple_Clarendon_50.jpg,Clarendon,50
Lake_Clarendon_75.jpg,Clarendon,75
Girl1_Clarendon_100.jpg,Clarendon,100
Girl1_Juno_75.jpg,Juno,75
Ocean_Clarendon_50.jpg,Clarendon,50
Lake_OG.jpg,OG,0
Ocean_Lark_50.jpg,Lark,50
Temple_Clarendon_75.jpg,Clarendon,75
Girl1_Lark_75.jpg,Lark,75
Girl2_Clarendon_25.jpg,Clarendon,25
Lake_Juno_75.jpg,Juno,75
Lake_Lark_25.jpg,Lark,25
Ocean_Juno_75.jpg,Juno,75
Girl2_Lark_50.jpg,Lark,50
Girl1_Juno_50.jpg,Juno,50
Lake_Juno_100.jpg,Juno,100
Girl1_Lark_50.jpg,Lark,50
Temple_OG.jpg,OG,0
Temple_Juno_100.jpg,Juno,100
Lake_Lark_75.jpg,Lark,75
Ocean_Lark_100.jpg,Lark,100
Girl1_Juno_25.jpg,Juno,25
Girl2_Clarendon_75.jpg,Clarendon,75
Girl2_Lark_75.jpg,Lark,75
Girl1_Clarendon_75.jpg,Clarendon,75
Temple_Lark_25.jpg,Lark,25
Girl2_Lark_25.jpg,Lark,25
Ocean_Lark_25.jpg,Lark,25
Ocean_OG.jpg,OG,0
Ocean_Juno_50.jpg,Juno,50
